#Gene stable ID	Transcript stable ID	Gene name	Transcript start (bp)	Transcript end (bp)	Strand	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
SPBC26H8.13c	SPBC26H8.13c.1	SPBC26H8.13c	3959939	3961152	-1	II	3959939	3961152
SPBC26H8.16	SPBC26H8.16.1	sdh8	3962860	3963804	-1	II	3962860	3963804
SPBC32C12.03c	SPBC32C12.03c.1	ppk25	3987522	3989582	-1	II	3987522	3989582
SPAPB2B4.03	SPAPB2B4.03.1	cig2	2709731	2714162	1	I	2709731	2714162
SPBC3B9.03	SPBC3B9.03.1	srp101	3993392	3995471	1	II	3993392	3995471
SPNCRNA.1654	SPNCRNA.1654.1	SPBC3B9.04-antisense-1	3995455	3996471	-1	II	3995455	3996471
SPAPB2B4.05	SPAPB2B4.05.1	vma5	2720607	2722630	1	I	2720607	2722630
SPBC3B9.21	SPBC3B9.21.1	dcp1	3996528	3997467	1	II	3996528	3997467
SPAPB2B4.06	SPAPB2B4.06.1	SPAPB2B4.06	2722668	2724062	1	I	2722668	2724062
SPBC3B9.07c	SPBC3B9.07c.1	rpa43	4000467	4001584	-1	II	4000467	4001584
SPAC6F6.02c	SPAC6F6.02c.1	pof5	2732373	2733967	-1	I	2732373	2733967
SPNCRNA.205	SPNCRNA.205.1	SPNCRNA.205	2738681	2740459	1	I	2738681	2740459
SPBC3B9.09	SPBC3B9.09.1	vps36	4002816	4004866	1	II	4002816	4004866
SPBC3B9.11c	SPBC3B9.11c.1	ctf1	4006607	4008054	-1	II	4006607	4008054
SPBC3B9.13c	SPBC3B9.13c.1	rpp102	4008717	4009443	-1	II	4008717	4009443
SPAC6F6.08c	SPAC6F6.08c.1	cdc16	2746667	2748180	-1	I	2746667	2748180
SPNCRNA.849	SPNCRNA.849.1	SPNCRNA.849	2752633	2754327	1	I	2752633	2754327
SPBC3B9.18c	SPBC3B9.18c.1	vma7	4021130	4021955	-1	II	4021130	4021955
SPNCRNA.436	SPNCRNA.436.1	SPNCRNA.436	4033337	4035308	1	II	4033337	4035308
SPNCRNA.1658	SPNCRNA.1658.1	SPBC215.07c-antisense-1	4038885	4043168	1	II	4038885	4043168
SPAC6F6.17	SPAC6F6.17.1	rif1	2766283	2770704	1	I	2766283	2770704
SPAC1805.02c	SPAC1805.02c.1	etf2	2773786	2774994	-1	I	2773786	2774994
SPBC215.07c	SPBC215.07c.1	pdp2	4039174	4041267	-1	II	4039174	4041267
SPNCRNA.1659	SPNCRNA.1659.1	arg4-antisense-1	4043158	4045767	1	II	4043158	4045767
SPBC215.15	SPBC215.15.1	sec13	4059950	4061230	1	II	4059950	4061230
SPBC1347.05c	SPBC1347.05c.1	SPBC1347.05c	4069163	4070800	-1	II	4069163	4070800
SPBC1347.07	SPBC1347.07.1	rex2	4073448	4075761	1	II	4073448	4075761
SPBC1347.09	SPBC1347.09.1	SPBC1347.09	4077097	4078794	1	II	4077097	4078794
SPBC1347.11	SPBC1347.11.1	sro1	4081869	4083198	1	II	4081869	4083198
SPAC1805.04	SPAC1805.04.1	nup132	2775128	2781053	1	I	2775128	2781053
SPNCRNA.854	SPNCRNA.854.1	SPNCRNA.854	2787208	2788035	-1	I	2787208	2788035
SPBC56F2.11	SPBC56F2.11.1	met6	4088686	4091252	-1	II	4088686	4091252
SPAC1805.18	SPAC1805.18.1	new2	2789090	2789377	1	I	2789090	2789377
SPBC56F2.10c	SPBC56F2.10c.1	alg5	4092089	4093752	1	II	4092089	4093752
SPBC56F2.15	SPBC56F2.15.1	tam13	4103472	4103759	-1	II	4103472	4103759
SPAC1805.14	SPAC1805.14.1	SPAC1805.14	2795957	2797948	1	I	2795957	2797948
SPBC56F2.04	SPBC56F2.04.1	utp20	4113007	4120739	-1	II	4113007	4120739
SPBC1861.06c	SPBC1861.06c.1	mug131	4142680	4144248	-1	II	4142680	4144248
SPAC1805.17	SPAC1805.17.1	crm1	2803886	2808253	1	I	2803886	2808253
SPAC3F10.06c	SPAC3F10.06c.1	rit1	2827047	2828687	-1	I	2827047	2828687
SPBC1861.08c	SPBC1861.08c.1	lea1	4145285	4146278	-1	II	4145285	4146278
SPAC3F10.19	SPAC3F10.19.1	spd2	2830300	2831707	1	I	2830300	2831707
SPBC1861.09	SPBC1861.09.1	ppk22	4147410	4149477	1	II	4147410	4149477
SPBC14F5.05c	SPBC14F5.05c.1	sam1	4162069	4163901	-1	II	4162069	4163901
SPAC3F10.11c	SPAC3F10.11c.1	abc2	2837121	2841820	-1	I	2837121	2841820
SPNCRNA.1677	SPNCRNA.1677.1	doa10-antisense-1	4169628	4170202	-1	II	4169628	4170202
SPATRNATHR.03	SPATRNATHR.03.1	SPATRNATHR.03	2844674	2844745	-1	I	2844674	2844745
SPBC14F5.09c	SPBC14F5.09c.1	ade8	4172822	4175534	-1	II	4172822	4175534
SPBC14F5.10c	SPBC14F5.10c.1	SPBC14F5.10c	4175472	4178057	-1	II	4175472	4178057
SPAC3F10.15c	SPAC3F10.15c.1	spo12	2845471	2849267	-1	I	2845471	2849267
SPAC8F11.05c	SPAC8F11.05c.1	mug130	2860849	2861815	-1	I	2860849	2861815
SPBC3F6.03	SPBC3F6.03.1	trr1	4189144	4191448	1	II	4189144	4191448
SPAC8F11.09c	SPAC8F11.09c.1	nnt1	2867863	2869544	-1	I	2867863	2869544
SPBC3F6.04c	SPBC3F6.04c.1	nop14	4191453	4194222	-1	II	4191453	4194222
SPAC8F11.10c	SPAC8F11.10c.1	pvg1	2869644	2871785	-1	I	2869644	2871785
SPACUNK4.16c	SPACUNK4.16c.1	SPACUNK4.16c	2877422	2880590	1	I	2877422	2880590
SPACUNK4.12c	SPACUNK4.12c.1	iph1	2886960	2890095	1	I	2886960	2890095
SPACUNK4.10	SPACUNK4.10.1	SPACUNK4.10	2891049	2892803	-1	I	2891049	2892803
SPACUNK4.09	SPACUNK4.09.1	SPACUNK4.09	2893836	2894991	-1	I	2893836	2894991
SPACUNK4.08	SPACUNK4.08.1	SPACUNK4.08	2895098	2898012	-1	I	2895098	2898012
SPAC513.04	SPAC513.04.1	SPAC513.04	2913403	2913705	1	I	2913403	2913705
SPNCRNA.860	SPNCRNA.860.1	SPNCRNA.860	2931622	2932800	-1	I	2931622	2932800
SPBC342.05	SPBC342.05.1	crb2	4210933	4213577	1	II	4210933	4213577
SPNCRNA.862	SPNCRNA.862.1	SPNCRNA.862	2938121	2939967	1	I	2938121	2939967
SPNCRNA.863	SPNCRNA.863.1	SPNCRNA.863	2939138	2940765	-1	I	2939138	2940765
SPNCRNA.864	SPNCRNA.864.1	mag1-antisense-1	2954212	2955627	1	I	2954212	2955627
SPBC16G5.06	SPBC16G5.06.1	SPBC16G5.06	4222736	4225382	1	II	4222736	4225382
SPAPB24D3.06c	SPAPB24D3.06c.1	SPAPB24D3.06c	2955693	2957733	-1	I	2955693	2957733
SPNCRNA.865	SPNCRNA.865.1	SPNCRNA.865	2956805	2959658	1	I	2956805	2959658
SPBC16G5.11c	SPBC16G5.11c.1	bag101	4232584	4233932	-1	II	4232584	4233932
SPAPB24D3.07c	SPAPB24D3.07c.1	SPAPB24D3.07c	2957839	2959192	-1	I	2957839	2959192
SPBC16G5.12c	SPBC16G5.12c.1	top3	4233868	4236432	-1	II	4233868	4236432
SPNCRNA.210	SPNCRNA.210.1	SPNCRNA.210	2959156	2959658	1	I	2959156	2959658
SPNCRNA.1682	SPNCRNA.1682.1	top3-antisense-1	4234033	4236335	1	II	4234033	4236335
SPNCRNA.31	SPNCRNA.31.1	prl31	2975608	2976007	1	I	2975608	2976007
SPNCRNA.1683	SPNCRNA.1683.1	ptf2-antisense-1	4236633	4237762	-1	II	4236633	4237762
SPAC31G5.03	SPAC31G5.03.1	rps1101	2992622	2993240	1	I	2992622	2993240
SPAC31G5.08	SPAC31G5.08.1	ups1	2998749	3001070	1	I	2998749	3001070
SPBC16G5.15c	SPBC16G5.15c.1	fkh2	4239333	4242722	-1	II	4239333	4242722
SPBC16G5.19	SPBC16G5.19.1	SPBC16G5.19	4251907	4252224	1	II	4251907	4252224
SPAC31G5.09c	SPAC31G5.09c.1	spk1	2999546	3001687	-1	I	2999546	3001687
SPNCRNA.577	SPNCRNA.577.1	SPBC1652.02-antisense-1	4255755	4259164	-1	II	4255755	4259164
SPNCRNA.72	SPNCRNA.72.1	eta2-antisense-2	3001825	3003103	-1	I	3001825	3003103
SPNCRNA.1684	SPNCRNA.1684.1	SPNCRNA.1684	4264123	4265302	-1	II	4264123	4265302
SPNCRNA.440	SPNCRNA.440.1	SPNCRNA.440	4264196	4265389	1	II	4264196	4265389
SPAC31G5.15	SPAC31G5.15.1	psd3	3014259	3017900	1	I	3014259	3017900
SPAC31G5.16c	SPAC31G5.16c.1	dpm1	3014389	3018849	-1	I	3014389	3018849
SPBC16A3.10	SPBC16A3.10.1	SPBC16A3.10	4279804	4281875	-1	II	4279804	4281875
SPBC16A3.08c	SPBC16A3.08c.1	oga1	4283876	4285456	1	II	4283876	4285456
SPAC31G5.18c	SPAC31G5.18c.1	sde2	3020648	3021791	-1	I	3020648	3021791
SPBC16A3.05c	SPBC16A3.05c.1	rae1	4288914	4290900	1	II	4288914	4290900
SPAC1786.04	SPAC1786.04.1	SPAC1786.04	3033456	3033916	-1	I	3033456	3033916
SPBC16A3.04	SPBC16A3.04.1	rsm25	4290896	4292035	-1	II	4290896	4292035
SPAC1786.03	SPAC1786.03.1	cut11	3037689	3039659	1	I	3037689	3039659
SPBC16A3.02c	SPBC16A3.02c.1	SPBC16A3.02c	4296979	4298874	1	II	4296979	4298874
SPAC24C9.02c	SPAC24C9.02c.1	cyt2	3039688	3040577	-1	I	3039688	3040577
SPBC543.08	SPBC543.08.1	SPBC543.08	4314371	4315659	1	II	4314371	4315659
SPAC24C9.04	SPAC24C9.04.1	SPAC24C9.04	3043895	3045082	1	I	3043895	3045082
SPNCRNA.881	SPNCRNA.881.1	SPNCRNA.881	3060233	3061210	-1	I	3060233	3061210
SPNCRNA.212	SPNCRNA.212.1	SPNCRNA.212	3060292	3061152	1	I	3060292	3061152
SPAC24C9.11	SPAC24C9.11.1	sgd1	3066462	3069156	1	I	3066462	3069156
SPNCRNA.883	SPNCRNA.883.1	otu1-antisense-1	3072855	3073852	-1	I	3072855	3073852
SPBC543.10	SPBC543.10.1	get1	4318850	4320442	1	II	4318850	4320442
SPBC16C6.02c	SPBC16C6.02c.1	vps1302	4322829	4332028	-1	II	4322829	4332028
SPAC16A10.07c	SPAC16A10.07c.1	taz1	3091021	3093570	-1	I	3091021	3093570
SPAC589.04	SPAC589.04.1	SPAC589.04	3100014	3101322	1	I	3100014	3101322
SPAC589.11	SPAC589.11.1	pth4	3109174	3110015	1	I	3109174	3110015
SPAC688.04c	SPAC688.04c.1	gst3	3115639	3116928	-1	I	3115639	3116928
SPBC16C6.05	SPBC16C6.05.1	SPBC16C6.05	4335569	4336480	1	II	4335569	4336480
SPBC244.02c	SPBC244.02c.1	utp6	4357856	4359583	1	II	4357856	4359583
SPAC688.08	SPAC688.08.1	srb8	3123163	3126653	1	I	3123163	3126653
SPBC1539.02	SPBC1539.02.1	SPBC1539.02	4363863	4367876	1	II	4363863	4367876
SPBC1539.06	SPBC1539.06.1	acb1	4372710	4373432	1	II	4372710	4373432
SPAC688.10	SPAC688.10.1	rev3	3129707	3134492	1	I	3129707	3134492
SPNCRNA.888	SPNCRNA.888.1	end4-antisense-1	3137359	3138684	-1	I	3137359	3138684
SPBC1539.10	SPBC1539.10.1	nop16	4380239	4381323	1	II	4380239	4381323
SPAC688.16	SPAC688.16.1	SPAC688.16	3143864	3144530	1	I	3143864	3144530
SPNCRNA.891	SPNCRNA.891.1	bet5-antisense-1	3144729	3145622	-1	I	3144729	3145622
SPBC1289.04c	SPBC1289.04c.1	pob1	4387796	4391271	-1	II	4387796	4391271
SPAC3G9.13c	SPAC3G9.13c.1	msw1	3150082	3156856	1	I	3150082	3156856
SPNCRNA.1689	SPNCRNA.1689.1	SPNCRNA.1689	4391437	4392038	1	II	4391437	4392038
SPAC3G9.17	SPAC3G9.17.1	new8	3162319	3162854	-1	I	3162319	3162854
SPBC1289.07c	SPBC1289.07c.1	rpc40	4395913	4397207	-1	II	4395913	4397207
SPNCRNA.218	SPNCRNA.218.1	SPNCRNA.218	3165556	3166062	1	I	3165556	3166062
SPAC3G9.08	SPAC3G9.08.1	png1	3167894	3169409	-1	I	3167894	3169409
SPBC1289.12	SPBC1289.12.1	usp109	4405835	4407803	1	II	4405835	4407803
SPBC1289.14	SPBC1289.14.1	SPBC1289.14	4412072	4413599	1	II	4412072	4413599
SPBC1289.16c	SPBC1289.16c.1	cao2	4426157	4428785	-1	II	4426157	4428785
SPNCRNA.1690	SPNCRNA.1690.1	cao2-antisense-1	4426298	4428764	1	II	4426298	4428764
SPBC8E4.05c	SPBC8E4.05c.1	SPBC8E4.05c	4430181	4431679	1	II	4430181	4431679
SPNCRNA.1693	SPNCRNA.1693.1	SPNCRNA.1693	4435403	4436584	1	II	4435403	4436584
SPBP4G3.02	SPBP4G3.02.1	pho1	4446373	4449053	1	II	4446373	4449053
SPNCRNA.532	SPNCRNA.532.1	SPNCRNA.532	4465475	4466352	-1	II	4465475	4466352
SPAC3G9.07c	SPAC3G9.07c.1	hos2	3169678	3171512	1	I	3169678	3171512
SPNCRNA.219	SPNCRNA.219.1	SPNCRNA.219	3178807	3179222	1	I	3178807	3179222
SPBPB2B2.06c	SPBPB2B2.06c.1	SPBPB2B2.06c	4469018	4471207	-1	II	4469018	4471207
SPNCRNA.14	SPNCRNA.14.1	prl14	3190456	3191217	1	I	3190456	3191217
SPNCRNA.894	SPNCRNA.894.1	fmc1-antisense-1	3202438	3203222	-1	I	3202438	3203222
SPAC1486.06	SPAC1486.06.1	npt1	3203863	3205821	1	I	3203863	3205821
SPNCRNA.895	SPNCRNA.895.1	cox15-antisense-1	3207422	3207941	-1	I	3207422	3207941
SPBPB2B2.09c	SPBPB2B2.09c.1	pan5	4478687	4480222	-1	II	4478687	4480222
SPAC1486.10	SPAC1486.10.1	thi1	3211823	3214509	1	I	3211823	3214509
SPBPB2B2.10c	SPBPB2B2.10c.1	gal7	4482234	4483799	-1	II	4482234	4483799
SPAC6G10.03c	SPAC6G10.03c.1	cld1	3218511	3220729	-1	I	3218511	3220729
SPNCRNA.1697	SPNCRNA.1697.1	gal1-antisense-1	4488684	4489829	-1	II	4488684	4489829
SPAC6G10.07	SPAC6G10.07.1	cbc1	3228497	3231398	1	I	3228497	3231398
SPBPB2B2.15	SPBPB2B2.15.1	SPBPB2B2.15	4496373	4496984	1	II	4496373	4496984
SPBPB2B2.16c	SPBPB2B2.16c.1	SPBPB2B2.16c	4497937	4499394	-1	II	4497937	4499394
SPBCPT2R1.01c	SPBCPT2R1.01c.1	SPBCPT2R1.01c	4506517	4507540	-1	II	4506517	4507540
SPBCPT2R1.05c	SPBCPT2R1.05c.1	SPBCPT2R1.05c	4515203	4515379	-1	II	4515203	4515379
SPAC6G10.08	SPAC6G10.08.1	idp1	3231335	3232976	1	I	3231335	3232976
SPBCPT2R1.10	SPBCPT2R1.10.1	SPBCPT2R1.10	4526225	4526884	1	II	4526225	4526884
SPAC6G9.05	SPAC6G9.05.1	pcd1	3253202	3254430	1	I	3253202	3254430
SPAC6G9.14	SPAC6G9.14.1	puf4	3273940	3278265	1	I	3273940	3278265
SPBC1348.15	SPBC1348.15.1	SPBC1348.15	304	693	-1	II	304	693
SPAC6G9.15c	SPAC6G9.15c.1	SPAC6G9.15c	3276492	3278586	-1	I	3276492	3278586
SPBC1348.03	SPBC1348.03.1	SPBC1348.03	10569	11351	1	II	10569	11351
SPBC1348.05	SPBC1348.05.1	SPBC1348.05	13572	15378	1	II	13572	15378
SPBC1348.08c	SPBC1348.08c.1	SPBC1348.08c	22111	23529	-1	II	22111	23529
SPBC1348.09	SPBC1348.09.1	SPBC1348.09	24916	25626	1	II	24916	25626
SPBC1348.10c	SPBC1348.10c.1	SPBC1348.10c	26155	28576	-1	II	26155	28576
SPBPB8B6.03	SPBPB8B6.03.1	fah1	47056	49071	1	II	47056	49071
SPBPB8B6.04c	SPBPB8B6.04c.1	grt1	47369	51220	-1	II	47369	51220
SPNCRNA.289	SPNCRNA.289.1	SPNCRNA.289	63695	64021	1	II	63695	64021
SPBPB21E7.04c	SPBPB21E7.04c.1	SPBPB21E7.04c	64487	65620	-1	II	64487	65620
SPNCRNA.1304	SPNCRNA.1304.1	SPNCRNA.1304	65390	66274	1	II	65390	66274
SPBPB21E7.06	SPBPB21E7.06.1	SPBPB21E7.06	68355	68852	1	II	68355	68852
SPBPB21E7.09	SPBPB21E7.09.1	SPBPB21E7.09	75073	77625	1	II	75073	77625
SPAPB1E7.02c	SPAPB1E7.02c.1	mcl1	3283004	3285778	-1	I	3283004	3285778
SPAPB1E7.08c	SPAPB1E7.08c.1	SPAPB1E7.08c	3310398	3312882	-1	I	3310398	3312882
SPSNORNA.43	SPSNORNA.43.1	snR91	3316466	3316609	-1	I	3316466	3316609
SPAPB1E7.10	SPAPB1E7.10.1	rpc17	3316817	3317528	1	I	3316817	3317528
SPAPB1E7.14	SPAPB1E7.14.1	iec5	3321855	3323689	1	I	3321855	3323689
SPAC2E1P5.05	SPAC2E1P5.05.1	rrp9	3329311	3331216	1	I	3329311	3331216
SPAC26A3.05	SPAC26A3.05.1	chc1	3339116	3344445	1	I	3339116	3344445
SPBPB10D8.02c	SPBPB10D8.02c.1	SPBPB10D8.02c	83229	85631	-1	II	83229	85631
SPAC8E11.08c	SPAC8E11.08c.1	SPAC8E11.08c	3375516	3376823	1	I	3375516	3376823
SPBPB10D8.04c	SPBPB10D8.04c.1	SPBPB10D8.04c	91376	92863	-1	II	91376	92863
SPAC8E11.06	SPAC8E11.06.1	SPAC8E11.06	3377901	3378094	-1	I	3377901	3378094
SPNCRNA.1313	SPNCRNA.1313.1	SPNCRNA.1313	127382	128570	-1	II	127382	128570
SPNCRNA.1314	SPNCRNA.1314.1	SPNCRNA.1314	127937	128726	1	II	127937	128726
SPBC1683.03c	SPBC1683.03c.1	SPBC1683.03c	138298	140377	-1	II	138298	140377
SPNCRNA.1315	SPNCRNA.1315.1	SPNCRNA.1315	141285	142180	-1	II	141285	142180
SPBC1683.04	SPBC1683.04.1	SPBC1683.04	142262	145393	1	II	142262	145393
SPAC8E11.02c	SPAC8E11.02c.1	rad24	3384190	3385685	1	I	3384190	3385685
SPNCRNA.1316	SPNCRNA.1316.1	SPNCRNA.1316	145701	148807	-1	II	145701	148807
SPAC959.02	SPAC959.02.1	sec17	3388183	3389788	1	I	3388183	3389788
SPBC1683.05	SPBC1683.05.1	SPBC1683.05	147915	150574	1	II	147915	150574
SPNCRNA.1317	SPNCRNA.1317.1	mal1-antisense-1	154152	154516	-1	II	154152	154516
SPAC959.03c	SPAC959.03c.1	utp7	3389719	3391615	-1	I	3389719	3391615
SPBC1198.01	SPBC1198.01.1	fmd2	172378	174315	1	II	172378	174315
SPBC1198.05	SPBC1198.05.1	SPBC1198.05	181602	182528	1	II	181602	182528
SPAC959.04c	SPAC959.04c.1	omh6	3391750	3394014	-1	I	3391750	3394014
SPBC1198.06c	SPBC1198.06c.1	SPBC1198.06c	182515	184651	-1	II	182515	184651
SPSNORNA.20	SPSNORNA.20.1	snR30	3394875	3395200	1	I	3394875	3395200
SPNCRNA.1323	SPNCRNA.1323.1	SPBC1198.07c-antisense-1	185042	186959	1	II	185042	186959
SPNCRNA.906	SPNCRNA.906.1	SPNCRNA.906	3394883	3395271	1	I	3394883	3395271
SPAC959.05c	SPAC959.05c.1	pdi4	3395217	3397638	-1	I	3395217	3397638
SPAC959.06c	SPAC959.06c.1	SPAC959.06c	3398024	3398701	-1	I	3398024	3398701
SPAC3H5.10	SPAC3H5.10.1	rpl3202	3415408	3416099	-1	I	3415408	3416099
SPAC3H5.07	SPAC3H5.07.1	rpl702	3429415	3430813	-1	I	3429415	3430813
SPAC3A11.14c	SPAC3A11.14c.1	pkl1	3438848	3442117	1	I	3438848	3442117
SPBC1198.11c	SPBC1198.11c.1	reb1	191752	193850	-1	II	191752	193850
SPBC660.06	SPBC660.06.1	SPBC660.06	204405	205721	1	II	204405	205721
SPBC660.08	SPBC660.08.1	SPBC660.08	209756	211172	1	II	209756	211172
SPAC3A11.13	SPAC3A11.13.1	gim1	3441613	3442297	-1	I	3441613	3442297
SPNCRNA.1328	SPNCRNA.1328.1	SPBC660.08-antisense-1	210126	211344	-1	II	210126	211344
SPBC660.10	SPBC660.10.1	SPBC660.10	212375	214899	1	II	212375	214899
SPAC3A11.08	SPAC3A11.08.1	pcu4	3452867	3455747	1	I	3452867	3455747
SPNCRNA.1329	SPNCRNA.1329.1	SPNCRNA.1329	217881	218882	1	II	217881	218882
SPBC660.15	SPBC660.15.1	msi2	224297	228689	1	II	224297	228689
SPAC3A11.05c	SPAC3A11.05c.1	kms1	3462282	3465427	1	I	3462282	3465427
SPAC3A11.02	SPAC3A11.02.1	cps3	3467903	3470242	-1	I	3467903	3470242
SPNCRNA.911	SPNCRNA.911.1	SPNCRNA.911	3477738	3479037	-1	I	3477738	3479037
SPAC328.07c	SPAC328.07c.1	bsd1	3491080	3492653	-1	I	3491080	3492653
SPBC31E1.02c	SPBC31E1.02c.1	pmr1	239838	243731	-1	II	239838	243731
SPAC16E8.05c	SPAC16E8.05c.1	mde1	3507198	3508537	-1	I	3507198	3508537
SPBC31E1.05	SPBC31E1.05.1	gle1	247207	248977	1	II	247207	248977
SPAC16E8.18	SPAC16E8.18.1	SPAC16E8.18	3522650	3522973	-1	I	3522650	3522973
SPBTRNAGLN.03	SPBTRNAGLN.03.1	SPBTRNAGLN.03	258848	258919	-1	II	258848	258919
SPAC16E8.14c	SPAC16E8.14c.1	tae1	3526978	3528225	-1	I	3526978	3528225
SPNCRNA.1332	SPNCRNA.1332.1	brx1-antisense-1	262125	263868	-1	II	262125	263868
SPBC800.12c	SPBC800.12c.1	SPBC800.12c	277941	279285	-1	II	277941	279285
SPAC16E8.15	SPAC16E8.15.1	tif45	3527949	3529446	1	I	3527949	3529446
SPNCRNA.300	SPNCRNA.300.1	SPNCRNA.300	287590	288017	-1	II	287590	288017
SPAC1B1.03c	SPAC1B1.03c.1	kap95	3541416	3544320	-1	I	3541416	3544320
SPNCRNA.915	SPNCRNA.915.1	SPNCRNA.915	3544327	3544849	1	I	3544327	3544849
SPBC1773.05c	SPBC1773.05c.1	tms1	290730	292250	-1	II	290730	292250
SPAC17A2.02c	SPAC17A2.02c.1	SPAC17A2.02c	3552290	3554138	-1	I	3552290	3554138
SPBC1773.06c	SPBC1773.06c.1	adh8	293225	294725	-1	II	293225	294725
SPAC17A2.03c	SPAC17A2.03c.1	vma6	3554534	3556722	-1	I	3554534	3556722
SPNCRNA.1336	SPNCRNA.1336.1	SPNCRNA.1336	294730	296112	1	II	294730	296112
SPBC1773.10c	SPBC1773.10c.1	nrs1	301754	303734	-1	II	301754	303734
SPAC17A2.06c	SPAC17A2.06c.1	vps8	3562948	3566829	-1	I	3562948	3566829
SPBTRNAARG.04	SPBTRNAARG.04.1	SPBTRNAARG.04	326652	326724	-1	II	326652	326724
SPNCRNA.920	SPNCRNA.920.1	SPNCRNA.920	3584979	3586233	1	I	3584979	3586233
SPAC17A2.14	SPAC17A2.14.1	SPAC17A2.14	3586167	3588777	1	I	3586167	3588777
SPNCRNA.600	SPNCRNA.600.1	SPNCRNA.600	3588585	3591355	-1	I	3588585	3591355
SPBC1271.14	SPBC1271.14.1	SPBC1271.14	336351	338426	-1	II	336351	338426
SPNCRNA.1343	SPNCRNA.1343.1	SPNCRNA.1343	354031	355573	1	II	354031	355573
SPAC17G6.05c	SPAC17G6.05c.1	bro1	3596387	3598863	-1	I	3596387	3598863
SPBTRNAGLN.04	SPBTRNAGLN.04.1	SPBTRNAGLN.04	355920	355991	1	II	355920	355991
SPAC17G6.07c	SPAC17G6.07c.1	use1	3599829	3601047	-1	I	3599829	3601047
SPBC1271.05c	SPBC1271.05c.1	SPBC1271.05c	362405	364861	1	II	362405	364861
SPAC17G6.08	SPAC17G6.08.1	pep7	3601674	3603904	1	I	3601674	3603904
SPBC1271.04c	SPBC1271.04c.1	SPBC1271.04c	365078	367258	1	II	365078	367258
SPAC17G6.09	SPAC17G6.09.1	sec62	3604045	3605545	1	I	3604045	3605545
SPNCRNA.1350	SPNCRNA.1350.1	SPNCRNA.1350	376976	378395	-1	II	376976	378395
SPBC106.03	SPBC106.03.1	SPBC106.03	378360	380053	1	II	378360	380053
SPAC17G6.10	SPAC17G6.10.1	ssr1	3605621	3607454	1	I	3605621	3607454
SPNCRNA.1351	SPNCRNA.1351.1	mug2-antisense-1	387803	388988	1	II	387803	388988
SPAC17G6.11c	SPAC17G6.11c.1	SPAC17G6.11c	3607395	3611122	-1	I	3607395	3611122
SPBC106.11c	SPBC106.11c.1	plg7	399003	401020	-1	II	399003	401020
SPAC17G6.15c	SPAC17G6.15c.1	SPAC17G6.15c	3618869	3620815	-1	I	3618869	3620815
SPNCRNA.1354	SPNCRNA.1354.1	sda1-antisense-1	404224	406445	1	II	404224	406445
SPBC106.15	SPBC106.15.1	idi1	406839	407908	1	II	406839	407908
SPAC1142.06	SPAC1142.06.1	get3	3636685	3638390	1	I	3636685	3638390
SPAC8C9.03	SPAC8C9.03.1	cgs1	3642972	3645636	1	I	3642972	3645636
SPNCRNA.925	SPNCRNA.925.1	SPAC8C9.04-antisense-1	3645889	3649035	-1	I	3645889	3649035
SPBC582.05c	SPBC582.05c.1	brc1	426160	429013	-1	II	426160	429013
SPAC8C9.06c	SPAC8C9.06c.1	ppr4	3649467	3654558	-1	I	3649467	3654558
SPNCRNA.1356	SPNCRNA.1356.1	mcp6-antisense-1	428944	430390	1	II	428944	430390
SPAC8C9.07	SPAC8C9.07.1	fyv7	3654213	3654875	1	I	3654213	3654875
SPBC582.07c	SPBC582.07c.1	rpn7	430393	431802	-1	II	430393	431802
SPAC8C9.09c	SPAC8C9.09c.1	mug129	3656197	3657691	-1	I	3656197	3657691
SPBC582.09	SPBC582.09.1	pex11	434811	436173	1	II	434811	436173
SPAC8C9.10c	SPAC8C9.10c.1	rrp14	3657811	3659118	-1	I	3657811	3659118
SPNCRNA.1357	SPNCRNA.1357.1	SPNCRNA.1357	437846	439998	1	II	437846	439998
SPAC8C9.19	SPAC8C9.19.1	SPAC8C9.19	3660430	3660717	1	I	3660430	3660717
SPBC428.10	SPBC428.10.1	SPBC428.10	460831	464017	1	II	460831	464017
SPAC8C9.15c	SPAC8C9.15c.1	tif225	3669130	3671512	-1	I	3669130	3671512
SPNCRNA.926	SPNCRNA.926.1	mug182-antisense-1	3685389	3686940	1	I	3685389	3686940
SPBC902.05c	SPBC902.05c.1	idh2	491874	493812	-1	II	491874	493812
SPNCRNA.928	SPNCRNA.928.1	meu16	3697473	3700084	-1	I	3697473	3700084
SPATRNAVAL.04	SPATRNAVAL.04.1	SPATRNAVAL.04	3710739	3710821	-1	I	3710739	3710821
SPNCRNA.929	SPNCRNA.929.1	SPNCRNA.929	3710890	3711593	-1	I	3710890	3711593
SPBC902.06	SPBC902.06.1	mto2	494592	496423	1	II	494592	496423
SPNCRNA.229	SPNCRNA.229.1	SPNCRNA.229	3710909	3711379	1	I	3710909	3711379
SPNCRNA.930	SPNCRNA.930.1	SPNCRNA.930	3711920	3716625	-1	I	3711920	3716625
SPBC1685.03	SPBC1685.03.1	sec11	499181	500762	1	II	499181	500762
SPBC1685.08	SPBC1685.08.1	cti6	514147	515953	1	II	514147	515953
SPAC15A10.15	SPAC15A10.15.1	sgo2	3714084	3716585	1	I	3714084	3716585
SPAC15E1.07c	SPAC15E1.07c.1	moa1	3728516	3729034	-1	I	3728516	3729034
